,burglary,burglary,burglary,burglary,burglary,assault,assault,assault,assault,assault,gla,gla,gla,gla,gla,grlarceny,grlarceny,grlarceny,grlarceny,grlarceny,murder,murder,murder,murder,murder,rape,rape,rape,rape,rape,robbery,robbery,robbery,robbery,robbery,total,total,total,total,total
precinct,1993,1995,1998,2001,2011,1993,1995,1998,2001,2011,1993,1995,1998,2001,2011,1993,1995,1998,2001,2011,1993,1995,1998,2001,2011,1993,1995,1998,2001,2011,1993,1995,1998,2001,2011,1993,1995,1998,2001,2011
1,911,609,571,426,155,186,218,166,167,95,897,529,308,157,59,3872,3333,2749,2100,983,11,2,1,1,0,11,5,7,5,13,869,533,334,192,102,6757,5229,4136,3048,1407
5,787,570,331,236,121,303,226,239,136,117,337,244,148,97,27,1587,1228,919,657,562,10,6,3,3,0,12,12,6,3,11,827,515,319,250,127,3863,2801,1965,1382,965
6,810,813,380,294,184,307,232,221,140,112,773,487,267,165,48,2574,1736,1622,1222,1004,1,4,4,1,1,12,8,6,8,15,861,593,446,290,156,5338,3873,2946,2120,1520
7,392,352,108,185,83,222,242,162,121,120,398,226,125,129,40,458,393,283,233,318,11,6,2,3,5,20,17,15,13,14,823,492,242,209,129,2324,1728,937,893,709
9,942,766,385,316,208,580,448,272,198,141,545,337,200,151,50,1704,1440,1239,738,750,17,4,4,2,1,38,22,17,12,13,1000,642,424,246,186,4826,3659,2541,1663,1349
10,639,439,298,108,119,249,253,197,103,94,512,449,312,127,46,828,766,576,447,635,8,6,4,3,3,27,19,12,5,13,617,496,272,135,138,2880,2428,1671,928,1048
13,1649,1139,692,552,245,303,248,205,177,126,1286,701,444,216,42,2765,2184,1878,1753,1419,6,7,2,2,2,21,17,7,10,17,1050,691,433,308,189,7080,4987,3661,3018,2040
14,2687,1893,1020,876,327,670,470,397,318,178,356,253,188,103,26,9365,6315,5133,4245,2174,11,4,3,4,2,41,39,15,12,15,2520,1329,881,528,177,15650,10303,7637,6086,2899
17,1230,940,548,265,96,161,151,79,103,53,639,408,203,111,21,2287,2164,1490,1312,703,0,0,0,0,0,14,11,7,8,10,619,309,247,149,63,4950,3983,2574,1948,946
18,2161,1647,993,462,185,496,366,343,251,112,511,377,331,201,28,7683,5288,4242,3966,1754,11,7,3,5,0,26,18,22,17,11,1388,841,595,394,137,12276,8544,6529,5296,2227
19,3019,2028,1028,701,251,295,275,185,127,108,3457,1996,997,320,83,3792,2807,2167,2208,1238,5,1,6,1,3,30,18,17,9,15,1378,884,459,359,137,11976,8009,4859,3725,1835
20,921,573,324,162,74,99,151,95,112,49,1153,648,393,160,19,1798,1316,813,877,635,1,2,3,1,0,20,13,17,7,11,610,420,283,174,77,4602,3123,1928,1493,865
22,34,4,5,7,1,37,19,21,10,10,11,3,0,0,0,176,90,76,69,70,2,1,1,1,0,11,7,4,3,2,204,146,80,37,18,475,270,187,127,101
23,489,431,362,190,95,579,585,478,329,243,410,261,156,134,32,567,291,300,249,263,27,23,15,9,5,64,51,37,31,28,933,704,479,379,209,3069,2346,1827,1321,875
24,1071,694,419,251,89,460,413,271,181,126,990,551,356,193,43,1126,733,523,522,451,23,4,2,3,5,35,31,17,12,12,889,644,430,341,187,4594,3070,2018,1503,913
25,540,464,286,172,118,670,500,342,296,227,342,193,111,110,35,387,356,277,165,243,37,23,6,7,9,41,44,41,27,23,925,668,399,275,231,2942,2248,1462,1052,886
26,624,448,271,124,57,290,268,198,132,100,360,188,114,133,27,663,496,386,326,274,14,4,3,1,2,26,25,16,9,7,772,523,339,220,155,2749,1952,1327,945,622
28,877,627,291,141,127,724,671,439,282,214,151,125,75,112,16,483,352,248,155,313,35,30,8,7,6,44,50,28,21,18,892,602,410,244,224,3206,2457,1499,962,918
30,785,567,391,209,135,680,578,416,380,189,323,194,134,126,25,348,263,171,163,179,56,37,13,11,2,45,37,27,28,21,715,571,466,290,246,2952,2247,1618,1207,797
32,974,666,388,243,152,968,880,666,474,322,258,199,138,148,52,432,326,264,207,301,56,30,6,22,10,89,67,42,33,27,958,850,568,435,244,3735,3018,2072,1562,1108
33,186,556,366,199,129,155,371,379,315,182,133,415,283,194,61,99,370,269,199,248,0,22,6,8,7,16,44,35,19,26,142,506,327,273,230,731,2284,1665,1207,883
34,1921,1183,748,419,275,839,425,334,273,237,1830,854,386,367,89,1184,546,330,290,376,50,18,9,7,8,89,45,34,27,18,1312,599,363,316,287,7225,3670,2204,1699,1290
40,1364,1020,530,317,241,1082,845,673,484,455,653,446,270,293,131,766,612,451,376,412,70,27,15,27,21,80,75,60,46,23,1908,1116,793,577,397,5923,4141,2792,2120,1680
41,1055,711,279,224,207,512,494,801,548,432,437,262,142,181,93,446,296,179,175,297,42,18,8,12,5,32,37,26,18,18,858,602,314,239,300,3382,2420,1749,1397,1352
42,1100,791,443,355,178,961,802,526,439,315,475,334,221,239,140,363,324,210,211,249,37,32,12,18,10,76,65,52,44,28,1293,946,572,339,325,4305,3294,2036,1645,1245
43,1944,1440,741,734,387,950,877,742,605,541,2052,1420,866,779,285,790,706,500,536,601,69,35,13,14,19,69,86,72,64,21,2057,1473,933,594,534,7931,6037,3867,3326,2388
44,2137,1672,844,515,342,1361,1251,780,677,557,1279,950,519,472,201,802,655,447,431,446,69,44,18,31,19,99,121,82,63,35,2044,1487,970,702,473,7791,6180,3660,2891,2073
45,803,516,387,370,286,231,242,238,183,162,2185,1379,1089,629,193,415,398,412,472,408,17,12,4,5,6,22,36,29,22,13,457,416,318,212,214,4130,2999,2477,1893,1282
46,2365,1857,1022,619,247,1036,1085,681,654,401,875,588,412,427,126,961,646,451,422,383,64,43,21,17,20,82,100,87,63,31,2132,1591,870,548,406,7515,5910,3544,2750,1614
47,1851,1366,976,549,412,850,720,569,417,489,1617,1272,823,597,295,545,576,426,248,296,35,46,21,17,21,79,85,73,50,34,1417,1055,656,460,434,6394,5120,3544,2338,1981
48,1313,957,669,431,201,698,430,513,430,343,603,445,298,316,141,463,359,292,282,364,40,15,23,13,12,59,56,40,36,19,1173,779,578,421,413,4349,3041,2413,1929,1493
49,1511,1053,655,576,393,346,358,264,227,265,1919,1482,986,576,231,581,500,405,397,455,15,11,8,5,3,36,28,30,22,18,690,569,404,284,372,5098,4001,2752,2087,1737
50,1151,860,599,357,207,271,177,146,147,115,1786,1305,917,458,107,457,445,306,295,379,11,2,3,8,4,24,17,22,21,9,622,425,292,199,192,4322,3231,2285,1485,1013
52,2344,1991,1102,766,449,627,698,541,524,397,1464,992,626,555,146,922,734,582,528,634,43,19,20,23,8,60,57,60,53,22,1727,1228,871,603,519,7187,5719,3802,3052,2175
60,993,789,481,302,200,735,566,572,312,281,1174,753,493,262,88,691,579,605,436,487,20,24,16,11,6,42,54,45,27,12,1074,845,554,462,251,4729,3610,2766,1812,1325
61,2146,1343,1086,728,256,314,292,272,178,152,3298,1998,1281,636,146,1463,875,912,671,467,8,10,7,5,14,23,30,30,13,11,893,669,492,365,192,8145,5217,4080,2596,1238
62,1693,1213,812,678,251,303,272,271,193,162,1830,1265,903,511,158,774,551,570,501,461,10,4,2,4,2,24,20,17,20,11,753,481,332,300,173,5387,3806,2907,2207,1218
63,1165,673,537,339,257,314,270,208,161,190,2730,1621,845,497,125,653,537,566,536,522,14,7,4,3,2,24,19,25,17,16,708,462,413,265,235,5608,3589,2598,1818,1347
66,1692,979,795,552,336,314,261,215,212,164,1821,1313,805,445,130,661,434,416,353,453,10,3,4,1,2,19,22,20,17,8,747,431,406,282,191,5264,3443,2661,1862,1284
67,2127,1730,1141,827,473,1234,1069,974,735,634,2042,1255,692,702,276,781,673,527,611,521,55,43,25,21,22,101,90,82,58,46,2377,1390,913,669,530,8717,6250,4354,3623,2502
68,1144,793,598,456,209,281,253,198,169,145,1946,1362,837,408,122,479,475,363,440,371,4,4,1,0,1,28,17,14,17,9,552,365,267,198,102,4434,3269,2278,1688,959
69,640,552,387,291,233,275,238,289,267,200,2178,1029,631,449,126,414,334,352,340,275,10,5,6,7,6,24,18,28,35,16,712,562,472,363,232,4253,2738,2165,1752,1088
70,2915,1549,1291,914,338,866,708,605,503,338,2391,1336,879,629,124,1120,863,826,680,704,46,19,9,13,10,111,69,61,64,21,2157,1296,1008,883,380,9606,5840,4679,3686,1915
71,1873,1297,899,511,236,926,892,707,490,385,1383,927,431,481,122,689,638,602,514,382,37,11,15,14,9,73,79,52,38,20,1690,1140,878,603,301,6671,4984,3584,2651,1455
72,1163,960,804,545,205,516,452,397,259,255,975,818,484,403,99,469,420,344,285,391,18,11,7,6,5,38,30,30,32,24,1045,690,511,410,243,4224,3381,2577,1940,1222
73,789,632,501,522,341,1143,955,816,665,628,713,416,309,296,129,949,636,418,409,448,74,28,26,26,26,88,72,74,54,31,2252,1470,879,625,542,6008,4209,3023,2597,2145
75,1854,1531,1170,568,517,1474,1280,1068,1053,880,2662,1717,1020,845,322,965,918,651,737,826,126,44,41,35,29,122,144,112,89,54,3152,2397,1628,1146,779,10355,8031,5690,4473,3407
76,438,294,269,203,98,307,236,167,131,96,401,351,201,106,38,235,180,161,152,267,8,12,7,4,3,15,12,14,4,8,398,283,199,132,126,1802,1368,1018,732,636
77,1582,1291,722,575,373,1190,727,648,498,361,774,738,291,347,105,599,526,346,387,396,82,30,9,19,10,71,77,52,43,22,2202,1546,772,487,356,6500,4935,2840,2356,1623
78,797,577,498,344,134,268,218,158,108,70,1034,705,370,244,75,510,386,452,369,413,7,3,1,1,0,26,13,12,11,8,865,553,464,251,173,3507,2455,1955,1328,873
79,1268,1293,555,449,355,1131,974,716,599,444,558,463,224,332,91,858,573,354,288,410,55,37,17,25,13,76,76,67,42,33,2086,1436,838,636,514,6032,4852,2771,2371,1860
81,863,733,448,377,301,850,793,547,421,289,588,296,154,197,85,386,294,219,226,430,26,35,10,18,12,79,55,29,31,16,1229,853,584,410,334,4021,3059,1991,1680,1467
83,1386,1250,677,522,481,845,721,498,537,359,942,672,334,334,118,566,414,284,280,376,44,17,12,12,17,62,69,46,57,30,1528,1164,700,551,446,5373,4307,2551,2293,1827
84,820,641,392,312,146,432,375,280,200,127,733,572,273,149,45,1136,831,732,736,560,11,9,1,3,1,22,22,16,5,3,1314,764,462,279,172,4468,3214,2156,1684,1054
88,1099,568,229,232,127,479,357,188,209,156,748,592,310,319,80,544,436,207,331,446,25,13,10,11,2,32,44,18,16,14,1188,775,399,419,295,4115,2785,1361,1537,1120
90,1322,943,490,484,314,579,461,314,279,235,941,662,465,336,189,556,436,300,372,588,22,14,2,12,5,34,40,29,24,23,1297,883,585,507,385,4751,3439,2185,2014,1739
94,1128,659,301,223,157,267,211,146,108,93,919,538,421,258,114,369,250,178,173,320,9,4,7,5,1,8,6,16,4,3,597,356,213,197,129,3297,2024,1282,968,817
100,432,359,177,115,143,212,180,142,93,133,310,177,88,71,21,194,195,115,94,148,5,1,0,1,1,13,11,11,10,5,278,190,133,63,87,1444,1113,666,447,538
101,768,614,370,216,134,524,448,418,301,182,460,338,184,158,46,330,291,203,189,123,16,14,9,6,8,42,24,32,17,17,710,577,413,247,128,2850,2306,1629,1134,638
102,1503,1485,965,622,298,362,401,440,309,260,3495,2150,1303,803,253,583,523,538,378,419,12,11,3,2,6,34,35,23,21,23,1238,908,672,459,269,7227,5513,3944,2594,1528
103,1166,1055,598,449,261,853,787,611,406,359,1591,1088,602,472,204,1214,985,578,587,415,28,16,16,10,11,74,69,45,27,37,1742,1488,751,530,436,6668,5488,3201,2481,1723
