"Agency","indic_name","precinct","mmr","zero_tol","year_month","year","month","YTD Value"
"NYPD","Major felony crime",100,"N","N","2010 / 07",2010,7,25
"NYPD","Major felony crime",100,"N","N","2010 / 08",2010,8,62
"NYPD","Major felony crime",100,"N","N","2010 / 09",2010,9,92
"NYPD","Major felony crime",100,"N","N","2010 / 10",2010,10,121
"NYPD","Major felony crime",100,"N","N","2010 / 11",2010,11,139
"NYPD","Major felony crime",100,"N","N","2010 / 12",2010,12,159
"NYPD","Major felony crime",100,"N","N","2011 / 01",2011,1,184
"NYPD","Major felony crime",100,"N","N","2011 / 02",2011,2,224
"NYPD","Major felony crime",100,"N","N","2011 / 03",2011,3,257
"NYPD","Major felony crime",100,"N","N","2011 / 04",2011,4,294
"NYPD","Major felony crime",100,"N","N","2011 / 05",2011,5,346
"NYPD","Major felony crime",100,"N","N","2011 / 06",2011,6,393
"NYPD","Major felony crime",101,"N","N","2010 / 07",2010,7,48
"NYPD","Major felony crime",101,"N","N","2010 / 08",2010,8,114
"NYPD","Major felony crime",101,"N","N","2010 / 09",2010,9,162
"NYPD","Major felony crime",101,"N","N","2010 / 10",2010,10,211
"NYPD","Major felony crime",101,"N","N","2010 / 11",2010,11,262
"NYPD","Major felony crime",101,"N","N","2010 / 12",2010,12,305
"NYPD","Major felony crime",101,"N","N","2011 / 01",2011,1,349
"NYPD","Major felony crime",101,"N","N","2011 / 02",2011,2,388
"NYPD","Major felony crime",101,"N","N","2011 / 03",2011,3,431
"NYPD","Major felony crime",101,"N","N","2011 / 04",2011,4,467
"NYPD","Major felony crime",101,"N","N","2011 / 05",2011,5,526
"NYPD","Major felony crime",101,"N","N","2011 / 06",2011,6,588
"NYPD","Major felony crime",102,"N","N","2010 / 07",2010,7,122
"NYPD","Major felony crime",102,"N","N","2010 / 08",2010,8,270
"NYPD","Major felony crime",102,"N","N","2010 / 09",2010,9,406
"NYPD","Major felony crime",102,"N","N","2010 / 10",2010,10,555
"NYPD","Major felony crime",102,"N","N","2010 / 11",2010,11,706
"NYPD","Major felony crime",102,"N","N","2010 / 12",2010,12,841
"NYPD","Major felony crime",102,"N","N","2011 / 01",2011,1,985
"NYPD","Major felony crime",102,"N","N","2011 / 02",2011,2,1091
"NYPD","Major felony crime",102,"N","N","2011 / 03",2011,3,1213
"NYPD","Major felony crime",102,"N","N","2011 / 04",2011,4,1328
"NYPD","Major felony crime",102,"N","N","2011 / 05",2011,5,1446
"NYPD","Major felony crime",102,"N","N","2011 / 06",2011,6,1569
"NYPD","Major felony crime",103,"N","N","2010 / 07",2010,7,123
"NYPD","Major felony crime",103,"N","N","2010 / 08",2010,8,259
"NYPD","Major felony crime",103,"N","N","2010 / 09",2010,9,395
"NYPD","Major felony crime",103,"N","N","2010 / 10",2010,10,562
"NYPD","Major felony crime",103,"N","N","2010 / 11",2010,11,731
"NYPD","Major felony crime",103,"N","N","2010 / 12",2010,12,880
"NYPD","Major felony crime",103,"N","N","2011 / 01",2011,1,991
